,id,candidate,song,artist,sentiment,theme,album_release_date,line,url,lyrics_views,track_release_date,years_match,corrected_release_year,split_lyrics
84,85,Hillary Clinton,Yzark,Proof,neutral,personal,2004,While Clinton got head I was in the sack with old Hillary,http://genius.com/Proof-yzark-lyrics,487,,,2004,"['While', 'Clinton', 'got', 'head', 'I', 'was', 'in', 'the', 'sack', 'with', 'old', 'Hillary']"
85,86,Hillary Clinton,PSA,Pryde,neutral,personal,2012,But they only like me for my bill like they're Hillary,http://genius.com/Pryde-psa-lyrics,2075,,,2012,"['But', 'they', 'only', 'like', 'me', 'for', 'my', 'bill', 'like', ""they're"", 'Hillary']"
86,87,Hillary Clinton,Fall Down Brew,R.A. the Rugged Man,negative,,2008,"Sewed Hillary Clinton's mouth, and that's after drinkin just one",http://genius.com/Chief-chinchilla-aka-j-zone-fall-down-brew-lyrics,127,,,2008,"['Sewed', 'Hillary', ""Clinton's"", 'mouth', 'and', ""that's"", 'after', 'drinkin', 'just', 'one']"
87,88,Hillary Clinton,Smells Like,R.A. The Rugged Man,neutral,sexual,2013,"Hillary Clinton can get her clit done with my big tounge / Have the bitch strung, once me dick swung, her lip drip cum",http://genius.com/Jarren-benton-smells-like-lyrics,13503,2013-06-11,True,2013,"['Hillary', 'Clinton', 'can', 'get', 'her', 'clit', 'done', 'with', 'my', 'big', 'tounge', '/', 'Have', 'the', 'bitch', 'strung', 'once', 'me', 'dick', 'swung', 'her', 'lip', 'drip', 'cum']"
88,89,Hillary Clinton,Born to Ball,Skeme,positive,money,2012,But I'm all about my bills / Grind stay Hillary Rodham,http://genius.com/Skeme-born-to-ball-lyrics,344,2012-10-16,True,2012,"['But', ""I'm"", 'all', 'about', 'my', 'bills', '/', 'Grind', 'stay', 'Hillary', 'Rodham']"
89,90,Hillary Clinton,RNQ,Rhymefest,negative,political,2009,"Hillary, Jesse Jack, even Barack's involved / When police beatin' our ass, none of y'all do a damn thang",http://genius.com/Rhymefest-rnq-lyrics,548,2009-04-07,True,2009,"['Hillary', 'Jesse', 'Jack', 'even', ""Barack's"", 'involved', '/', 'When', 'police', ""beatin'"", 'our', 'ass', 'none', 'of', ""y'all"", 'do', 'a', 'damn', 'thang']"
90,91,Hillary Clinton,TimeZone,Saba,positive,personal,2014,Y'all ain't near and dear to me like William and Hillary,http://genius.com/Saba-timezone-lyrics,12151,2014-07-15,True,2014,"[""Y'all"", ""ain't"", 'near', 'and', 'dear', 'to', 'me', 'like', 'William', 'and', 'Hillary']"
91,92,Hillary Clinton,White Girl (Remix),Rick Ross,positive,,2007,"Hilary Clinton, she my best friend / Even co-signed for that new white Benz",http://genius.com/Jeezy-white-girl-remix-lyrics,18979,,,2007,"['Hilary', 'Clinton', 'she', 'my', 'best', 'friend', '/', 'Even', 'co-signed', 'for', 'that', 'new', 'white', 'Benz']"
92,93,Hillary Clinton,Now That I'm Paid,Rick Ross,neutral,,2012,Whip it in the kitchen before Hillary became a Clinton,http://genius.com/The-game-now-that-im-paid-lyrics,1914,2012-04-05,True,2012,"['Whip', 'it', 'in', 'the', 'kitchen', 'before', 'Hillary', 'became', 'a', 'Clinton']"
93,94,Hillary Clinton,Life So Hard,Migos,positive,,2015,Make a basic bitch feel like Hillary Clinton,http://genius.com/Migos-life-so-hard-lyrics,4201,2015-10-22,True,2015,"['Make', 'a', 'basic', 'bitch', 'feel', 'like', 'Hillary', 'Clinton']"
