id,candidate,song,artist,sentiment,theme,album_release_date,line,url,lyrics_views,track_release_date,years_match,corrected_release_year,split_lyrics
33,Hillary Clinton,Again (Stankonia Remix),Big Boi,neutral,,2001,"Thinkin the Hillary Clinton, not to mention, and she got yo baby",http://genius.com/Lenny-kravitz-again-stankonia-remix-lyrics,517,9/14/00,FALSE,2000,"['Thinkin', 'the', 'Hillary', 'Clinton', 'not', 'to', 'mention', 'and', 'she', 'got', 'yo', 'baby']"
34,Hillary Clinton,Energy,Big Boi,neutral,personal,2008,Energy like Bill and Hillary Clinton,http://genius.com/Raheem-devaughn-energy-feat-big-boi-lyrics,472,1/15/08,TRUE,2008,"['Energy', 'like', 'Bill', 'and', 'Hillary', 'Clinton']"
35,Hillary Clinton,No Sunshine,Rhymefest,positive,money,2007,Until we all fuckin' with bills/Bill's like Hillary Rodham,http://genius.com/Rhymefest-no-sunshine-lyrics,413,,,2007,"['Until', 'we', 'all', ""fuckin'"", 'with', ""bills/Bill's"", 'like', 'Hillary', 'Rodham']"
36,Hillary Clinton,Unapologetic,Charles Hamilton,negative,political,2008,"You more like Hillary / Only in it cuz you used to fuck the ex leader, n----",http://genius.com/Charles-hamilton-unapologetic-lyrics,572,6/9/08,TRUE,2008,"['You', 'more', 'like', 'Hillary', '/', 'Only', 'in', 'it', 'cuz', 'you', 'used', 'to', 'fuck', 'the', 'ex', 'leader', 'n----']"
37,Hillary Clinton,Dark Night of the Blood Spiller,Chino XL,negative,sexual,1994,Getting my dick sucked / On the cover of Source magazine by Hillary Clinton,http://genius.com/Chino-xl-night-of-the-blood-spiller-lyrics,240,,,1994,"['Getting', 'my', 'dick', 'sucked', '/', 'On', 'the', 'cover', 'of', 'Source', 'magazine', 'by', 'Hillary', 'Clinton']"
38,Hillary Clinton,Nunca,Chino XL,neutral,,2001,"I'll shoot out with Bill & Hillary, still won't run out of artillery",http://genius.com/Chino-xl-nunca-lyrics,4118,8/21/01,TRUE,2001,"[""I'll"", 'shoot', 'out', 'with', 'Bill', '&', 'Hillary', 'still', ""won't"", 'run', 'out', 'of', 'artillery']"
39,Hillary Clinton,Datpiff (freeverse series Ep. 4),Chris Webby,neutral,,2016,"The planet is collapsing, economies are crashin' / And Hillary Clinton is dabbin'",http://genius.com/Chris-webby-datpiff-freeverse-series-ep-4-lyrics,5685,6/1/16,TRUE,2016,"['The', 'planet', 'is', 'collapsing', 'economies', 'are', ""crashin'"", '/', 'And', 'Hillary', 'Clinton', 'is', ""dabbin'""]"
40,Hillary Clinton,One,Corny,positive,money,2014,"Blowing up like some artillery, Bills coming to me like Hillary",http://genius.com/Corny-one-lyrics,1095,,,2014,"['Blowing', 'up', 'like', 'some', 'artillery', 'Bills', 'coming', 'to', 'me', 'like', 'Hillary']"
41,Hillary Clinton,Single Again (Remix),Trina,positive,,2007,Like Hillary Clinton / I'm the boss,http://genius.com/Trina-single-again-remix-lyrics,6535,1/1/07,TRUE,2007,"['Like', 'Hillary', 'Clinton', '/', ""I'm"", 'the', 'boss']"
42,Hillary Clinton,Fukinwichu,Cunninlynguists,negative,personal,2001,Send Hillary the Bill and Lewinski scene in claymation,http://genius.com/Cunninlynguists-fukinwichu-lyrics,6301,10/30/01,TRUE,2001,"['Send', 'Hillary', 'the', 'Bill', 'and', 'Lewinski', 'scene', 'in', 'claymation']"
43,Hillary Clinton,Opening Day,E-dubble,negative,,2010,"Specially when you throwin' like Hillary Rodham / Problem, from top to bottom",http://genius.com/E-dubble-opening-day-lyrics,950,4/9/10,TRUE,2010,"['Specially', 'when', 'you', ""throwin'"", 'like', 'Hillary', 'Rodham', '/', 'Problem', 'from', 'top', 'to', 'bottom']"
